"연번","도로명주소","지번주소","x 좌표","y 좌표","건물명","구 명칭","전화번호","유형","개방시간","소재지 용도","화장실 현황","장애인화장실 현황","편의시설 (기타설비)","안내표지","소재지","비고"
"217878","서울특별시 중구 삼일대로 340","서울특별시 중구 저동1가 1-2","126.98818460","37.56504680","남대문세무서","중구","02-2266-0815","공공개방|","정시(09:00~18:00)|"," ","남자|여자|","남자|여자|"," "," ","공공시설|","한국자산관리공사"
"217879","서울특별시 중구 남대문시장4길 28-18","서울특별시 중구 남창동 51-1","126.97621844","37.55896779","남대문시장 공중화장실","중구","02-2280-8384","공공개방|","상시(24시간)|"," ","남자|여자|","남자|여자|","기저귀교환대(여)|","비상벨(여)|비상벨(장애인_남)|비상벨(장애인_여)|","근생시설|","중구시설관리공단"
"217880","서울특별시 중구 남대문로 18-2","서울특별시 중구 남대문로3가 30-13","126.97791816","37.56101258","남대문지하상가","중구","02-2290-6254","공공개방|","기타|05:00~24:00|"," ","남자|여자|","남자|여자|"," ","비상벨(남)|비상벨(여)|","근생시설|","서울시설공단 상가운영처"
"217881","서울특별시 중구 남대문시장4길 28-16","서울특별시 중구 남창동 51-1","126.97639189","37.55901370","남대문파출소","중구","02-2096-8474","공공개방|","정시(09:00~18:00)|"," ","남자|여자|","남자|여자|"," "," ","공공시설|","남대문파출소"
"217882","서울특별시 중구 퇴계로34길 28","서울특별시 중구 필동2가  84-1","126.99368047","37.55905933","남산골한옥마을 정문화장실","중구","02-2264-4412","공공개방|","상시(24시간)|"," ","남자|여자|","남자|여자|"," "," ","공공시설|","서울시 역사문화재과"
"217883","서울특별시 중구 퇴계로34길 28","서울특별시 중구 필동2가  84-1","126.99372833","37.55909785","남산골한옥마을 중앙화장실","중구","02-2264-4412","공공개방|","정시(8:00~20:00)|"," ","남자|여자|","남자|여자|","기저귀교환대(남)|기저귀교환대(여)|"," ","공공시설|","서울시 역사문화재과"
"217884","서울특별시 중구 퇴계로20길 24","서울특별시 중구 남산동2가 30-3","126.98559755","37.55923226","남산동공영주차장 화장실","중구","02-2280-8384","공공개방|","상시(24시간)|"," ","남자|여자|","남자|여자|"," "," ","공공시설|","중구시설관리공단"
"217885","서울특별시 중구 소파로 138","서울특별시 중구 예장동 8-19","126.98838943","37.55913005","남산예술센터","중구","02-758-2110","공공개방|","정시(08:00~22:00)|"," ","남자|여자|","남자|여자|","기저귀교환대(남)|기저귀교환대(여)|"," ","문화시설|","서울문화재단"
"217886","서울특별시 중구 퇴계로26길 36","서울특별시 중구 예장동 4-1","126.98893880","37.55988737","남산예장공영주차장 화장실","중구","02-2290-6440","공공개방|","기타|06:00~24:00|"," ","남자|여자|","남자|여자|"," ","비상벨(여)|비상벨(장애인_남)|비상벨(장애인_여)|","공공시설|","서울시설공단 주차시설운영처"
"217887","서울특별시 중구 다동길 15","서울특별시 중구 다동 193","126.98040107","37.56804819","다동소공원","중구","02-2280-8393","공공개방|","상시(24시간)|"," ","남자|여자|","남자|여자|"," ","비상벨(여)|비상벨(장애인_남)|비상벨(장애인_여)|","공원 및 하천변|","중구시설관리공단"
"217888","서울특별시 중구 동호로15길 60","서울특별시 중구 신당동 432-24","127.00860940","37.55438216","다산동공영주차장 화장실","중구","02-2280-8384","공공개방|","상시(24시간)|"," ","남자|여자|","남자|여자|"," "," ","공공시설|","중구시설관리공단"
"217889","서울특별시 중구 동호로15길 50","서울특별시 중구 신당동 432-1114","127.00829434","37.55433291","다산동주민센터","중구","02-3396-6743","공공개방|","정시(09:00~21:00)|"," ","남자|여자|","남자|여자|","기저귀교환대(여)|","비상벨(여)|","공공시설|","다산동주민센터"
"217890","서울특별시 중구 동호로17길 173","서울특별시 중구 신당동 432-612","127.00438948","37.55163338","다산아트공영주차장 화장실","중구","02-2280-8384","공공개방|","상시(24시간)|"," ","남자|여자|","남자|여자|"," "," ","공공시설|","중구시설관리공단"
"217891","서울특별시 중구 다산로42다길 18","서울특별시 중구 신당동 123-1","127.01881252","37.56368004","다산어린이공원","중구","02-2280-8393","공공개방|","상시(24시간)|"," ","남자|여자|","남자|여자|","기저귀교환대(여)|","비상벨(남)|비상벨(여)|비상벨(장애인_남)|비상벨(장애인_여)|","공원 및 하천변|","중구시설관리공단"
"217892","서울특별시 중구 을지로 279","서울특별시 중구 을지로7가 112-3","127.00913149","37.56558948","동대문역사문화공원역(2) 화장실","중구","02-6110-2051","공공개방|","정시(영업시작~종료)|"," ","남자|여자|","남자|여자|","기저귀교환대(남)|기저귀교환대(여)|","비상벨(여)|비상벨(장애인_남)|비상벨(장애인_여)|","지하철|","서울교통공사"
"215413"," ","서울특별시 동작구 동작동  산 16-21","126.97855162","37.49645434","현충근린공원(동작동_정금)","동작구","02-820-9848","공공개방|","정시(09:00~18:00)|"," ","남자|여자|"," "," "," 비상벨(남)|비상벨(여)|","공원 및 하천변|","동작구 공원녹지과-02-820-9848"
"215414"," ","서울특별시 동작구 사당동  산 12-2","126.97288541","37.49260387","현충근린공원(사당동_상록)","동작구","02-820-9848","공공개방|","정시(09:00~18:00)|"," ","공용|"," "," "," 비상벨(남)|비상벨(여)|","공원 및 하천변|","동작구 공원녹지과-02-820-9848"
"215415"," ","서울특별시 동작구 동작동  산 42-1","126.96759691","37.50318799","현충근린공원(동작동_비계)","동작구","02-820-9848","공공개방|","정시(09:00~18:00)|"," ","남자|여자|"," "," "," 비상벨(남)|비상벨(여)|","공원 및 하천변|","동작구 공원녹지과-02-820-9848"
"215416","서울특별시 동작구 양녕로20길 3","서울특별시 동작구 상도동 산 65-235","126.94332309","37.49243582","상도근린공원(역도장 앞)","동작구","02-820-1766","공공개방|","정시(09:00~18:00)|"," ","남자|여자|"," "," "," 비상벨(남)|비상벨(여)|","공원 및 하천변|","동작구 공원녹지과-02-820-1766"
"215417","서울특별시 동작구 양녕로32길 58-23","서울특별시 동작구 상도동 산 64-23","126.94814583","37.49868295","상도근린공원 (중앙하이츠빌 뒤편 전망대 옆)","동작구","02-820-1639","공공개방|","정시(09:00~18:00)|"," ","남자|여자|"," "," "," 비상벨(남)|비상벨(여)|","공원 및 하천변|","동작구 공원녹지과-02-820-1639"
"215418","서울특별시 마포구 마포대로 127","서울특별시 마포구 공덕동 404","126.95214124","37.54619452","풍림vip텔","마포구","02-703-8354","민간개방|","상시(24시간)|"," ","남자|여자|"," "," "," ","업무시설|","관리사무실"
"215419","서울특별시 마포구 성암로 189","서울특별시 마포구 상암동 1622","126.89789776","37.57675435","중소기업DMC타워","마포구","02-3151-1123","민간개방|","정시(07:00~24:00)|"," ","남자|여자|"," "," "," ","업무시설|","관리사무실"
"215420","서울특별시 마포구 와우산로 160","서울특별시 마포구 서교동 325-24","126.93056627","37.55511330","모닝글로리","마포구","02-2179-0219","민간개방|","기타|10:00 ~ 22:00|"," ","남자|여자|"," "," "," ","근생시설|","관리사무실"
"215421","서울특별시 마포구 백범로 126","서울특별시 마포구 염리동 155-6","126.94496962","37.54622482","염리동주유소 개방화장실","마포구","02-3272-5155","민간개방|","상시(24시간)|"," ","남자|여자|"," "," "," ","주유소 및 충전소|","관리사무실"
"215422","서울특별시 마포구 어울마당로 149-1","서울특별시 마포구 동교동 170-19","126.92650152","37.55675301","야한포차 개방화장실","마포구","02-3153-9234","민간개방|","기타|16:00~24:00|"," ","여자|"," "," "," ","근생시설|","관리사무실"
"215423","서울특별시 마포구 신촌로4길 22-14","서울특별시 마포구 동교동 176-9","126.92759143","37.55733091","애프터눈커피 개방화장실","마포구","02-3153-9234","민간개방|","기타|11:00~21:00|"," ","남자|여자|"," ","기저귀교환대(장애인_공용)|"," ","근생시설|","관리사무실"
"215424","서울특별시 마포구 월드컵로25길 35","서울특별시 마포구 망원동 483-16","126.90572446","37.55797720","월드컵시장 개방화장실","마포구","02-322-6656","민간개방|","정시(08:00~22:00)|"," ","남자|여자|"," "," ","출입구CCTV|","근생시설|","관리사무실"
"215425","서울특별시 마포구 백범로10길 30","서울특별시 마포구 신수동 36-3","126.93990489","37.54813506","숲길빌딩 개방화장실","마포구","02-3153-9234","민간개방|","상시(24시간)|"," ","남자|여자|"," "," ","출입구CCTV|","업무시설|","관리사무실"
"215426","서울특별시 마포구 양화로18길 15","서울특별시 마포구 동교동 169-14","126.92493159","37.55659146","오렌즈 비젼센터 B1 개방화장실","마포구","02-332-4520","민간개방|","기타|11~22시|"," ","여자|"," ","기저귀교환대(남)|기저귀교환대(여)|"," ","근생시설|","관리사무실"
"215427","서울특별시 마포구 서강로 76","서울특별시 마포구 창전동 13-6","126.93259133","37.54983426","에스에스주유소 개방화장실","마포구","02-3153-9234","민간개방|","기타|06~24시|"," ","남자|여자|"," ","기저귀교환대(남)|기저귀교환대(여)|"," ","주유소 및 충전소|","관리사무실"
"215428","서울특별시 마포구 양화로 45","서울특별시 마포구 합정동 414","126.91354455","37.54912272","메세나폴리스3(2층)","마포구","02-6357-0108","민간개방|","상시(24시간)|"," ","남자|여자|"," "," "," ","근생시설|","메세나폴리스 관리실"
"215429"," ","서울특별시 마포구 성산동  527-20","126.89833170","37.56729190","홈플러스","마포구","02-2128-2976","공공개방|","상시(24시간)|"," ","남자|여자|"," ","기저귀교환대(장애인_공용)|","비상벨(여)|비상벨(장애인_남)|비상벨(장애인_여)|","근생시설|","서울시설공단 서울월드컵경기장운영처"
"215430","서울특별시 마포구 월드컵로 240","서울특별시 마포구 성산동 515","126.89615120","37.56807390","홍보관","마포구","02-2128-2976","공공개방|","상시(24시간)|"," ","남자|여자|"," ","기저귀교환대(장애인_공용)|","비상벨(여)|비상벨(장애인_남)|비상벨(장애인_여)|","공공시설|","서울시설공단 서울월드컵경기장운영처"
"215431"," ","서울특별시 마포구 성산동  산 51-1","126.89885250","37.57153080","풋살구장","마포구","02-2128-2976","공공개방|","상시(24시간)|"," ","남자|여자|"," "," ","비상벨(여)|비상벨(장애인_남)|비상벨(장애인_여)|","공공시설|","서울시설공단 서울월드컵경기장운영처"
"215432","서울특별시 마포구 월드컵로 240","서울특별시 마포구 성산동 515","126.89858960","37.56901020","영화관","마포구","02-2128-2976","공공개방|","상시(24시간)|"," ","남자|여자|"," ","기저귀교환대(장애인_공용)|","비상벨(여)|비상벨(장애인_남)|비상벨(장애인_여)|","공공시설|","서울시설공단 서울월드컵경기장운영처"
"215433"," ","서울특별시 마포구 성산동  515-44","126.89555800","37.56862070","웨딩홀","마포구","02-2128-2976","공공개방|","상시(24시간)|"," ","남자|여자|"," ","기저귀교환대(장애인_공용)|","비상벨(여)|비상벨(장애인_남)|비상벨(장애인_여)|","공공시설|","서울시설공단 서울월드컵경기장운영처"
"215434","서울특별시 마포구 하늘공원로 84","서울특별시 마포구 상암동  481-63","126.88254820","37.56985130","하늘-3(서측계단)","마포구","02-300-5558","공공개방|","상시(24시간)|"," ","남자|여자|"," ","기저귀교환대(장애인_공용)|","비상벨(남)|비상벨(여)|비상벨(장애인_남)|비상벨(장애인_여)|","공원 및 하천변|","서부공원여가센터"
"215435","서울특별시 마포구 하늘공원로 95","서울특별시 마포구 상암동  481-72","126.88742370","37.56633440","하늘-4(대우)","마포구","02-300-5558","공공개방|","상시(24시간)|"," ","남자|여자|"," ","기저귀교환대(장애인_공용)|","비상벨(남)|비상벨(여)|비상벨(장애인_남)|비상벨(장애인_여)|출입구CCTV|","공원 및 하천변|","서부공원여가센터"
"215436","서울특별시 마포구 하늘공원로 108","서울특별시 마포구 상암동 481-6","126.87992950","37.56747610","하늘-6(유채)","마포구","02-300-5558","공공개방|","상시(24시간)|"," ","남자|여자|"," ","기저귀교환대(장애인_공용)|","비상벨(남)|비상벨(여)|비상벨(장애인_남)|비상벨(장애인_여)|","공원 및 하천변|","서부공원여가센터"
"215437","서울특별시 마포구 월드컵로 365","서울특별시 마포구 상암동 1538","126.88487140","37.57376630","난지-3(축구장)","마포구","02-300-5558","공공개방|","상시(24시간)|"," ","남자|여자|"," ","기저귀교환대(여)|","비상벨(남)|비상벨(여)|비상벨(장애인_남)|비상벨(장애인_여)|","공원 및 하천변|","서부공원여가센터"
"215438","서울특별시 마포구 월드컵로 365","서울특별시 마포구 상암동 1538","126.88265970","37.57555740","난지-4(놀이터)","마포구","02-300-5558","공공개방|","상시(24시간)|"," ","남자|여자|"," ","기저귀교환대(여)|기저귀교환대(장애인_공용)|","비상벨(남)|비상벨(여)|비상벨(장애인_남)|비상벨(장애인_여)|","공원 및 하천변|","서부공원여가센터"
"215439"," ","서울특별시 마포구 상암동  478-1","126.87641290","37.57501980","노을-1(숙소)","마포구","02-300-5558","공공개방|","상시(24시간)|"," ","남자|여자|"," ","기저귀교환대(장애인_공용)|","비상벨(남)|비상벨(여)|비상벨(장애인_남)|비상벨(장애인_여)|","공원 및 하천변|","서부공원여가센터"
"215440","서울특별시 마포구 하늘공원로 108","서울특별시 마포구 상암동 481-6","126.88007271","37.56968511","노을-2(캠핑장안내소)","마포구","02-300-5558","공공개방|","상시(24시간)|"," ","남자|여자|"," "," ","비상벨(남)|비상벨(여)|비상벨(장애인_남)|비상벨(장애인_여)|","공원 및 하천변|","서부공원여가센터"
"215441","서울특별시 마포구 하늘공원로 84","서울특별시 마포구 상암동 495-55","126.88188865","37.57232657","노을-7(에코교실)","마포구","02-300-5558","공공개방|","상시(24시간)|"," ","남자|여자|"," ","기저귀교환대(남)|기저귀교환대(여)|","비상벨(남)|비상벨(여)|비상벨(장애인_남)|비상벨(장애인_여)|","공원 및 하천변|","서부공원여가센터"
"215442"," ","서울특별시 마포구 상암동  478-1","126.87315080","37.57509270","노을-3(신관, 캠핑장)","마포구","02-300-5558","공공개방|","상시(24시간)|"," ","남자|여자|"," ","기저귀교환대(장애인_공용)|","비상벨(남)|비상벨(여)|비상벨(장애인_남)|비상벨(장애인_여)|출입구CCTV|","공원 및 하천변|","서부공원여가센터"
"215443"," ","서울특별시 마포구 상암동  478-1","126.87254170","37.57345800","노을-4(카페)","마포구","02-300-5558","공공개방|","상시(24시간)|"," ","남자|여자|"," ","기저귀교환대(장애인_공용)|","비상벨(남)|비상벨(여)|비상벨(장애인_남)|비상벨(장애인_여)|","공원 및 하천변|","서부공원여가센터"
"215444"," ","서울특별시 마포구 상암동  478-1","126.87671000","37.57198390","노을-5(바람의광장)","마포구","02-300-5558","공공개방|","상시(24시간)|"," ","남자|여자|"," ","기저귀교환대(여)|기저귀교환대(장애인_공용)|","비상벨(남)|비상벨(여)|비상벨(장애인_남)|비상벨(장애인_여)|출입구CCTV|","공원 및 하천변|","서부공원여가센터"
"215445"," ","서울특별시 마포구 상암동  481-34","126.87865170","37.57407620","노을-6(스타트)","마포구","02-300-5558","공공개방|","상시(24시간)|"," ","남자|여자|"," ","기저귀교환대(여)|기저귀교환대(장애인_공용)|","비상벨(남)|비상벨(여)|비상벨(장애인_남)|비상벨(장애인_여)|출입구CCTV|","공원 및 하천변|","서부공원여가센터"
"215446"," ","서울특별시 마포구 상암동  478-1","126.86807310","37.57559740","노을-9(가양후문)","마포구","02-300-5558","공공개방|","상시(24시간)|"," ","남자|여자|"," "," "," 비상벨(남)|비상벨(여)|","공원 및 하천변|","서부공원여가센터"
"215447","서울특별시 강북구 도봉로 127","서울특별시 강북구 미아동 327-1","127.02826495","37.62015537","미아지구대","강북구","02- 944-4116","공공개방|","정시(09:00~24:00)|"," ","남자|여자|"," "," "," ","공공시설|","미아지구대"
"213772","서울특별시 강동구 올림픽로 874","서울특별시 강동구 암사동 188","127.13106886","37.55888030","암사역사 비지터 화장실","강동구","02-3425-5864","공공개방|","상시(24시간)|"," ","남자|여자|","남자|여자|","기저귀 교환대(남)|기저귀 교환대(여)|기저귀 교환대(장애인_남)|기저귀 교환대(장애인_여)|","비상벨(여)|","공원 및 하천변|","강동구 청소행정과"
"213773","서울특별시 강동구 천중로 215","서울특별시 강동구 길동 344-4","127.14435773","37.54097453","길동 119안전센터","강동구","02-487-6119","공공개방|","상시(24시간)|"," ","공용|"," "," "," ","공공시설|","강동소방서 길동119안전센터"
"213774","서울특별시 강동구 천호대로 1183","서울특별시 강동구 길동 228-6","127.14268581","37.53456235","길동주민센터","강동구","02-3425-7853","공공개방|","정시(09:00~18:00)|"," ","남자|여자|"," "," "," 비상벨(남)|비상벨(여)|","공공시설|","강동구 자치행정과"
"213775","서울특별시 강동구 양재대로112길 57","서울특별시 강동구 길동 403","127.14320605","37.53637589","강동우체국","강동구","02-440-2828","공공개방|","정시(09:00~18:00)|"," ","남자|여자|"," "," "," ","공공시설|","강동우체국"
"213776","서울특별시 강동구 올림픽로 875","서울특별시 강동구 암사동 158","127.13032800","37.55947700","암사유적지 야외주차장 화장실","강동구","02-2045-6147","공공개방|","상시(24시간)|"," ","남자|여자|"," "," "," 비상벨(남)|비상벨(여)|","공공시설|","강동구 문화예술과"
"213777","서울특별시 강동구 동남로 563","서울특별시 강동구 둔촌동 115-1","127.14648036","37.52546225","복지둔촌충전소 화장실","강동구","02-3425-5955","민간개방|","상시(24시간)|"," ","남자|여자|"," "," "," ","주유소 및 충전소|","강동구 기후환경과"
"213778","서울특별시 강동구 양재대로91길 59","서울특별시 강동구 성내동 424","127.13272832","37.52851482","선린어린이공원","강동구","02-3425-5864","공공개방|","상시(24시간)|"," ","남자|여자|","남자|여자|","기저귀 교환대(남)|기저귀 교환대(여)|기저귀 교환대(장애인_남)|기저귀 교환대(장애인_여)|","비상벨(남)|비상벨(여)|출입구CCTV|","공원 및 하천변|","강동구 청소행정과"
"213779","서울특별시 강동구 상암로79길 88, 701동 (상일동, 고덕 롯데캐슬 베네루체)","서울특별시 강동구 상일동 514","127.16605921","37.55020467","명일근린공원(상일동산)","강동구","02-3425-5864","공공개방|","상시(24시간)|"," ","남자|여자|","공용|"," "," 비상벨(남)|비상벨(여)|","공원 및 하천변|","강동구 청소행정과"
"213780","서울특별시 강동구 천호대로 1246","서울특별시 강동구 둔촌동 600-1","127.14937240","37.53641681","재건에너지재정제2주유소고속셀프지점","강동구","02-487-2030","민간개방|","기타|06:00~24:00|"," ","남자|여자|"," "," "," ","주유소 및 충전소|","건물 관리자"
"213781","서울특별시 강동구 천중로18길 61","서울특별시 강동구 천호동 399-1","127.12983163","37.54209281","해공체육문화센터","강동구","02-2045-7651","공공개방|","정시(06:00~22:00)|"," ","남자|여자|"," "," ","비상벨(여)|","공공시설|","강동구도시관리공단"
"213782","서울특별시 강동구 구천면로42길 60","서울특별시 강동구 천호동 87-26","127.13626293","37.54498880","천호1동공영주차장","강동구","02-2045-6147","공공개방|","상시(24시간)|"," ","남자|여자|"," "," ","비상벨(여)|","교통시설|","강동구도시관리공단"
"213783"," ","서울특별시 강동구 상일동  산 54","127.15939060","37.55202439","중앙하이츠 뒷산","강동구","02-3425-5864","공공개방|","상시(24시간)|"," ","남자|여자|"," "," "," 비상벨(남)|비상벨(여)|","공원 및 하천변|","강동구 청소행정과"
"213784","서울특별시 강동구 성내로3가길 71","서울특별시 강동구 성내동 533","127.12653986","37.52945178","성내하니공원","강동구","02-3425-5864","공공개방|","상시(24시간)|"," ","남자|여자|","남자|여자|","기저귀교환대(여)|","비상벨(남)|비상벨(여)|출입구CCTV|","공원 및 하천변|","강동구 청소행정과"
"213785","서울특별시 강동구 상일로 132","서울특별시 강동구 강일동 712","127.17142700","37.55871700","해뜨는 주유소","강동구","02-442-5145","민간개방|","기타|05:00~24:00|"," ","남자|여자|"," "," "," ","주유소 및 충전소|","건물 관리자"
"213786","서울특별시 강동구 구천면로 633","서울특별시 강동구 상일동 513-2","127.16830065","37.55058303","상일1동주민센터","강동구","02-2600-7895","공공개방|","정시(09:00~18:00)|"," ","남자|여자|"," "," "," 비상벨(남)|비상벨(여)|","공공시설|","강동구 자치행정과"
"213787","서울특별시 강동구 상일로6길 51","서울특별시 강동구 상일동 502-2","127.17586555","37.54992751","상일2동주민센터","강동구","02-2041-7707","공공개방|","정시(09:00~18:00)|"," ","남자|여자|"," "," "," ","공공시설|","강동구 자치행정과"
"213788","서울특별시 강동구 아리수로27길 2","서울특별시 강동구 암사동 378","127.13759285","37.55726893","암사역사공원역역","강동구","02-6311-8091","공공개방|","정시(영업시작~종료)|"," ","남자|여자|"," ","기저귀교환대(장애인_공용)|"," 비상벨(남)|비상벨(여)|","지하철|","서울교통공사"
"213789","서울특별시 강동구 상암로3길 28","서울특별시 강동구 암사동 503-8","127.12727088","37.55170631","암사2동주민센터","강동구","02-3425-7610","공공개방|","정시(09:00~18:00)|"," ","남자|여자|"," ","기저귀교환대(장애인_공용)|"," 비상벨(남)|비상벨(여)|","공공시설|","강동구 자치행정과"
"213790","서울특별시 강동구 천호대로 1452","서울특별시 강동구 상일동 443-5","127.17003152","37.54506030","복지상일충전소 화장실","강동구","02-3425-5955","민간개방|","상시(24시간)|"," ","남자|여자|"," "," "," ","주유소 및 충전소|","강동구 기후환경과"
"213791","서울특별시 강동구 아리수로78길 43-12","서울특별시 강동구 고덕동 226-4","127.16435631","37.56050661","고덕2동주민센터","강동구","02-3425-7550","공공개방|","정시(09:00~18:00)|"," ","남자|여자|"," "," "," 비상벨(남)|비상벨(여)|","공공시설|","강동구 자치행정과"
"215499","서울특별시 광진구 동일로 388","서울특별시 광진구 중곡동 235-8","127.07729514","37.56511447","수경빌딩","광진구","02-450-1375","민간개방|","정시(09:00~20:00)|"," ","남자|여자|"," "," "," ","업무시설|","광진구청 청소과(02-450-1375)"
"213792","서울특별시 강동구 풍성로37가길 62","서울특별시 강동구 성내동 508","127.12954083","37.53243043","성내2동주민센터","강동구","02-3425-7790","공공개방|","정시(09:00~18:00)|"," ","남자|여자|"," ","기저귀교환대(장애인_공용)|"," ","공공시설|","강동구 자치행정과"
"213793","서울특별시 강동구 천호대로 1128","서울특별시 강동구 성내동 378","127.13651979","37.53416341","웰빙메디컬센터","강동구","02-3425-5864","민간개방|","정시(08:00~22:00)|"," ","남자|여자|"," "," ","비상벨(여)|","업무시설|","강동구 청소행정과"
"213794","서울특별시 강동구 풍성로63길 84","서울특별시 강동구 둔촌동 444","127.14031589","37.53172071","신성통상","강동구","02-3709-9482","민간개방|","기타|06:30~22:00|"," ","남자|여자|"," "," ","비상벨(여)|","업무시설|","강동구 청소행정과"
"213795","서울특별시 강동구 동남로 990","서울특별시 강동구 고덕동 287","127.15755098","37.56214509","철봉공원(고덕약수터)","강동구","02-3425-5864","공공개방|","상시(24시간)|"," ","남자|여자|","공용|"," ","비상벨(남)|비상벨(여)|출입구CCTV|","공원 및 하천변|","강동구 청소행정과"
